Rank,NOC,Gold,Silver,Bronze,Total,Year
23,254.0,2,2,2,6,1992
24,114.0,2,2,1,5,1992
25,35.0,2,1,0,3,1992
26,99.0,2,0,0,2,1992
27,238.0,1,7,4,12,1992
28,188.0,1,4,5,10,1992
29,85.0,1,2,2,5,1992
30,72.0,1,1,4,6,1992
31,154.0,1,1,1,3,1992
32,119.0,1,1,0,2,1992
33,82.0,1,0,2,3,1992
34,74.0,1,0,1,2,1992
34,81.0,1,0,1,2,1992
34,149.0,1,0,1,2,1992
37,50.0,1,0,0,1,1992
38,127.0,0,3,1,4,1992
38,182.0,0,3,1,4,1992
40,151.0,0,2,1,3,1992
41,15.0,0,2,0,2,1992
41,175.0,0,2,0,2,1992
41,279.0,0,2,0,2,1992
44,21.0,0,1,2,3,1992
44,111.0,0,1,2,3,1992
44,126.0,0,1,2,3,1992
44,118.0,0,1,2,3,1992
48,122.0,0,1,1,2,1992
49,251.0,0,1,0,1,1992
49,159.0,0,1,0,1,1992
49,194.0,0,1,0,1,1992
52,167.0,0,0,2,2,1992
52,237.0,0,0,2,2,1992
54,10.0,0,0,1,1,1992
54,26.0,0,0,1,1,1992
54,58.0,0,0,1,1,1992
54,98.0,0,0,1,1,1992
54,174.0,0,0,1,1,1992
54,191.0,0,0,1,1,1992
54,195.0,0,0,1,1,1992
54,201.0,0,0,1,1,1992
54,206.0,0,0,1,1,1992
54,235.0,0,0,1,1,1992
54,245.0,0,0,1,1,1992
1,265.0,44,32,25,101,1996
2,212.0,26,21,16,63,1996
3,69.0,20,18,27,65,1996
4,53.0,16,22,12,50,1996
5,87.0,15,7,15,37,1996
6,124.0,13,10,12,35,1996
7,14.0,9,9,23,41,1996
8,65.0,9,8,8,25,1996
9,260.0,9,2,12,23,1996
10,134.0,7,15,5,27,1996
11,199.0,7,5,5,17,1996
12,113.0,7,4,10,21,1996
13,80.0,5,6,6,17,1996
14,210.0,4,7,9,20,1996
15,178.0,4,5,10,19,1996
16,99.0,4,4,0,8,1996
17,67.0,4,3,4,11,1996
18,50.0,4,3,0,7,1996
19,72.0,4,1,1,6,1996
19,254.0,4,1,1,6,1996
21,45.0,3,11,8,22,1996
22,39.0,3,7,5,15,1996
23,129.0,3,6,5,14,1996
24,130.0,3,4,4,11,1996
25,35.0,3,3,9,15,1996
26,188.0,3,2,1,6,1996
27,279.0,3,1,1,5,1996
28,119.0,3,0,1,4,1996
29,238.0,2,4,2,8,1996
30,186.0,2,2,3,7,1996
31,21.0,2,2,2,6,1996
32,182.0,2,1,3,6,1996
33,202.0,2,1,2,5,1996
34,74.0,2,0,1,3,1996
34,82.0,2,0,1,3,1996
36,92.0,1,8,6,15,1996
37,30.0,1,6,8,15,1996
38,131.0,1,4,3,8,1996
39,127.0,1,3,2,6,1996
40,85.0,1,2,1,4,1996
41,278.0,1,1,2,4,1996
41,114.0,1,1,2,4,1996
43,118.0,1,1,1,3,1996
43,236.0,1,1,1,3,1996
45,11.0,1,1,0,2,1996
45,111.0,1,1,0,2,1996
47,203.0,1,0,1,2,1996
47,245.0,1,0,1,2,1996
49,20.0,1,0,0,1,1996
49,62.0,1,0,0,1,1996
49,75.0,1,0,0,1,1996
49,109.0,1,0,0,1,1996
49,240.0,1,0,0,1,1996
54,10.0,0,2,1,3,1996
55,175.0,0,2,0,2,1996
55,237.0,0,2,0,2,1996
57,15.0,0,1,2,3,1996
58,174.0,0,1,1,2,1996
58,157.0,0,1,1,2,1996
58,266.0,0,1,1,2,1996
61,16.0,0,1,0,1,1996
61,26.0,0,1,0,1,1996
61,251.0,0,1,0,1,1996
61,151.0,0,1,0,1,1996
61,195.0,0,1,0,1,1996
61,250.0,0,1,0,1,1996
61,282.0,0,1,0,1,1996
68,95.0,0,0,2,2,1996
68,154.0,0,0,2,2,1996
68,252.0,0,0,2,2,1996
71,116.0,0,0,1,1,1996
71,122.0,0,0,1,1,1996
71,149.0,0,0,1,1,1996
71,159.0,0,0,1,1,1996
71,167.0,0,0,1,1,1996
71,169.0,0,0,1,1,1996
71,201.0,0,0,1,1,1996
71,253.0,0,0,1,1,1996
71,259.0,0,0,1,1,1996
1,265.0,37,24,32,93,2000
2,212.0,32,28,29,89,2000
3,53.0,28,16,14,58,2000
4,14.0,16,25,17,58,2000
5,69.0,13,17,26,56,2000
6,87.0,13,14,11,38,2000
7,124.0,13,8,13,34,2000
8,178.0,12,9,4,25,2000
9,65.0,11,11,7,29,2000
10,92.0,11,10,7,28,2000
11,210.0,11,6,9,26,2000
12,134.0,8,10,10,28,2000
13,113.0,8,6,3,17,2000
14,199.0,6,5,3,14,2000
15,129.0,5,8,5,18,2000
16,39.0,5,6,2,13,2000
17,99.0,4,6,3,13,2000
18,238.0,4,5,3,12,2000
19,186.0,4,3,3,10,2000
20,82.0,4,1,3,8,2000
21,260.0,3,10,10,23,2000
22,130.0,3,4,0,7,2000
23,30.0,3,3,11,17,2000
24,45.0,3,3,8,14,2000
25,80.0,3,3,5,11,2000
26,254.0,3,0,2,5,2000
27,118.0,3,0,1,4,2000
28,67.0,2,3,3,8,2000
29,131.0,2,3,2,7,2000
30,72.0,2,3,1,6,2000
31,85.0,2,1,1,4,2000
32,15.0,2,1,0,3,2000
33,149.0,2,0,3,5,2000
34,16.0,2,0,1,3,2000
34,26.0,2,0,1,3,2000
36,237.0,2,0,0,2,2000
37,50.0,1,6,2,9,2000
38,114.0,1,3,2,6,2000
39,236.0,1,3,1,5,2000
40,159.0,1,2,3,6,2000
41,182.0,1,2,0,3,2000
42,74.0,1,1,3,5,2000
43,266.0,1,1,2,4,2000
44,278.0,1,1,1,3,2000
44,151.0,1,1,1,3,2000
46,188.0,1,0,3,4,2000
47,81.0,1,0,2,3,2000
47,245.0,1,0,2,3,2000
49,111.0,1,0,1,2,2000
50,55.0,1,0,0,1,2000
50,58.0,1,0,0,1,2000
50,169.0,1,0,0,1,2000
53,35.0,0,6,6,12,2000
54,127.0,0,6,3,9,2000
55,21.0,0,2,3,5,2000
55,279.0,0,2,3,5,2000
57,10.0,0,2,2,4,2000
58,251.0,0,1,4,5,2000
58,154.0,0,1,4,5,2000
60,202.0,0,1,3,4,2000
61,157.0,0,1,1,2,2000
61,216.0,0,1,1,2,2000
61,252.0,0,1,1,2,2000
64,119.0,0,1,0,1,2000
64,148.0,0,1,0,1,2000
64,264.0,0,1,0,1,2000
64,273.0,0,1,0,1,2000
68,95.0,0,0,6,6,2000
69,62.0,0,0,2,2,2000
69,203.0,0,0,2,2,2000
71,11.0,0,0,1,1,2000
71,36.0,0,0,1,1,2000
71,52.0,0,0,1,1,2000
71,121.0,0,0,1,1,2000
71,116.0,0,0,1,1,2000
71,122.0,0,0,1,1,2000
71,138.0,0,0,1,1,2000
71,132.0,0,0,1,1,2000
71,163.0,0,0,1,1,2000
71,206.0,0,0,1,1,2000
1,265.0,36,39,26,101,2004
2,53.0,32,17,14,63,2004
3,212.0,28,26,36,90,2004
4,14.0,17,16,17,50,2004
5,129.0,16,9,12,37,2004
6,69.0,13,16,20,49,2004
7,87.0,11,9,13,33,2004
8,124.0,10,11,11,32,2004
9,134.0,9,12,9,30,2004
10,92.0,9,9,12,30,2004
11,65.0,9,7,11,27,2004
12,113.0,8,6,3,17,2004
13,260.0,8,5,9,22,2004
14,210.0,8,5,6,19,2004
15,99.0,6,6,4,16,2004
16,35.0,5,2,3,10,2004
17,186.0,5,0,1,6,2004
18,178.0,4,9,9,22,2004
19,238.0,4,2,1,7,2004
20,80.0,3,11,6,20,2004
21,45.0,3,6,3,12,2004
22,254.0,3,3,4,10,2004
23,199.0,3,2,5,10,2004
24,188.0,3,2,0,5,2004
25,245.0,3,1,4,8,2004
26,30.0,2,5,6,13,2004
27,15.0,2,4,1,7,2004
28,82.0,2,3,2,7,2004
29,118.0,2,2,2,6,2004
29,236.0,2,2,2,6,2004
31,251.0,2,2,1,5,2004
32,95.0,2,2,0,4,2004
33,39.0,2,1,9,12,2004
34,72.0,2,1,5,8,2004
35,127.0,2,1,2,5,2004
35,266.0,2,1,2,5,2004
37,154.0,2,1,0,3,2004
38,10.0,2,0,4,6,2004
39,52.0,2,0,1,3,2004
40,130.0,1,4,3,8,2004
41,131.0,1,4,2,7,2004
42,67.0,1,3,5,9,2004
43,279.0,1,3,2,6,2004
44,111.0,1,2,2,5,2004
45,149.0,1,2,0,3,2004
46,76.0,1,1,3,5,2004
46,50.0,1,1,3,5,2004
48,114.0,1,1,2,4,2004
49,283.0,1,1,1,3,2004
50,16.0,1,0,4,5,2004
51,21.0,1,0,2,3,2004
52,26.0,1,0,1,2,2004
52,122.0,1,0,1,2,2004
54,55.0,1,0,0,1,2004
54,73.0,1,0,0,1,2004
54,9.0,1,0,0,1,2004
57,202.0,0,4,1,5,2004
58,151.0,0,4,0,4,2004
59,159.0,0,3,1,4,2004
60,203.0,0,2,1,3,2004
61,85.0,0,2,0,2,2004
61,217.0,0,2,0,2,2004
63,237.0,0,1,3,4,2004
64,81.0,0,1,2,3,2004
65,109.0,0,1,0,1,2004
65,116.0,0,1,0,1,2004
65,204.0,0,1,0,1,2004
68,58.0,0,0,2,2,2004
68,182.0,0,0,2,2,2004
68,269.0,0,0,2,2,2004
71,78.0,0,0,1,1,2004
71,167.0,0,0,1,1,2004
71,240.0,0,0,1,1,2004
71,252.0,0,0,1,1,2004
1,53.0,48,22,30,100,2008
2,265.0,36,39,37,112,2008
3,212.0,24,13,23,60,2008
4,92.0,19,13,19,51,2008
5,69.0,16,11,14,41,2008
6,14.0,14,15,17,46,2008
7,134.0,13,11,8,32,2008
8,129.0,9,8,8,25,2008
9,124.0,8,9,10,27,2008
10,87.0,7,16,20,43,2008
11,178.0,7,5,4,16,2008
12,260.0,7,4,11,22,2008
13,131.0,6,4,6,16,2008
14,80.0,5,11,3,19,2008
15,127.0,5,4,2,11,2008
16,199.0,4,5,2,11,2008
17,82.0,4,2,1,7,2008
18,210.0,4,1,4,9,2008
19,65.0,3,10,17,30,2008
20,45.0,3,9,8,20,2008
21,113.0,3,5,2,10,2008
22,186.0,3,5,1,9,2008
23,35.0,3,4,10,17,2008
24,30.0,3,4,7,14,2008
25,67.0,3,3,1,7,2008
26,236.0,3,3,0,6,2008
27,188.0,3,2,4,9,2008
28,95.0,3,2,2,7,2008
29,130.0,2,3,4,9,2008
30,72.0,2,2,3,7,2008
31,202.0,2,2,2,6,2008
31,245.0,2,2,2,6,2008
33,167.0,2,2,0,4,2008
34,50.0,2,1,4,7,2008
35,10.0,2,0,4,6,2008
36,159.0,2,0,2,4,2008
37,21.0,2,0,0,2,2008
38,283.0,1,3,0,4,2008
39,237.0,1,2,2,5,2008
40,16.0,1,1,4,6,2008
40,114.0,1,1,4,6,2008
42,39.0,1,1,3,5,2008
42,254.0,1,1,3,5,2008
44,251.0,1,1,2,4,2008
44,85.0,1,1,2,4,2008
46,151.0,1,1,1,3,2008
47,73.0,1,1,0,2,2008
47,81.0,1,1,0,2,2008
47,203.0,1,1,0,2,2008
47,252.0,1,1,0,2,2008
51,116.0,1,0,2,3,2008
52,118.0,1,0,1,2,2008
53,55.0,1,0,0,1,2008
53,192.0,1,0,0,1,2008
53,253.0,1,0,0,1,2008
56,238.0,0,4,1,5,2008
57,149.0,0,3,2,5,2008
57,182.0,0,3,2,5,2008
59,111.0,0,2,3,5,2008
60,58.0,0,2,1,3,2008
60,99.0,0,2,1,3,2008
62,11.0,0,1,4,5,2008
63,266.0,0,1,3,4,2008
64,15.0,0,1,2,3,2008
64,119.0,0,1,2,3,2008
64,132.0,0,1,2,3,2008
64,229.0,0,1,2,3,2008
68,74.0,0,1,1,2,2008
68,26.0,0,1,1,2,2008
68,154.0,0,1,1,2,2008
68,246.0,0,1,1,2,2008
72,52.0,0,1,0,1,2008
72,75.0,0,1,0,1,2008
72,121.0,0,1,0,1,2008
72,174.0,0,1,0,1,2008
72,225.0,0,1,0,1,2008
72,221.0,0,1,0,1,2008
72,279.0,0,1,0,1,2008
72,218.0,0,1,0,1,2008
72,273.0,0,1,0,1,2008
81,76.0,0,0,2,2,2008
82,0.0,0,0,1,1,2008
82,122.0,0,0,1,1,2008
82,172.0,0,0,1,1,2008
82,157.0,0,0,1,1,2008
82,244.0,0,0,1,1,2008
82,269.0,0,0,1,1,2008
1,265.0,48,26,30,104,2012
2,53.0,39,31,22,92,2012
3,92.0,29,18,18,65,2012
4,212.0,18,21,26,65,2012
5,134.0,13,9,9,31,2012
6,69.0,11,20,13,44,2012
7,87.0,11,11,13,35,2012
8,14.0,8,15,12,35,2012
9,124.0,8,9,11,28,2012
10,113.0,8,4,6,18,2012
11,129.0,7,14,17,38,2012
12,118.0,7,5,1,13,2012
13,178.0,6,6,8,20,2012
14,188.0,6,2,5,13,2012
15,260.0,5,4,10,19,2012
16,65.0,5,3,7,15,2012
17,80.0,4,10,6,20,2012
18,127.0,4,5,4,13,2012
19,67.0,4,4,3,11,2012
20,279.0,4,1,1,6,2012
21,202.0,4,0,2,6,2012
22,35.0,3,5,9,17,2012
23,130.0,3,2,6,11,2012
23,199.0,3,2,6,11,2012
25,82.0,3,2,3,8,2012
26,111.0,3,1,2,6,2012
27,45.0,2,6,10,18,2012
28,30.0,2,5,3,10,2012
29,131.0,2,4,7,13,2012
30,72.0,2,4,3,9,2012
31,210.0,2,4,1,7,2012
32,16.0,2,2,5,9,2012
33,50.0,2,2,0,4,2012
34,186.0,2,1,1,4,2012
35,149.0,2,0,3,5,2012
36,253.0,2,0,1,3,2012
37,238.0,1,4,3,8,2012
38,58.0,1,3,5,9,2012
39,159.0,1,3,4,8,2012
40,95.0,1,2,3,6,2012
41,119.0,1,1,4,6,2012
42,10.0,1,1,2,4,2012
42,229.0,1,1,2,4,2012
42,237.0,1,1,2,4,2012
42,252.0,1,1,2,4,2012
46,254.0,1,1,1,3,2012
47,73.0,1,1,0,2,2012
48,251.0,1,0,1,2,2012
48,151.0,1,0,1,2,2012
50,74.0,1,0,0,1,2012
50,26.0,1,0,0,1,2012
50,25.0,1,0,0,1,2012
50,100.0,1,0,0,1,2012
50,259.0,1,0,0,1,2012
50,269.0,1,0,0,1,2012
56,76.0,0,3,1,4,2012
57,116.0,0,2,4,6,2012
58,167.0,0,2,3,5,2012
59,245.0,0,2,2,4,2012
60,39.0,0,2,1,3,2012
60,85.0,0,2,1,3,2012
60,114.0,0,2,1,3,2012
63,236.0,0,1,3,4,2012
64,21.0,0,1,2,3,2012
65,11.0,0,1,1,2,2012
65,81.0,0,1,1,2,2012
65,174.0,0,1,1,2,2012
65,201.0,0,1,1,2,2012
65,206.0,0,1,1,2,2012
70,41.0,0,1,0,1,2012
70,66.0,0,1,0,1,2012
70,90.0,0,1,0,1,2012
70,103.0,0,1,0,1,2012
70,166.0,0,1,0,1,2012
70,203.0,0,1,0,1,2012
76,266.0,0,0,3,3,2012
77,99.0,0,0,2,2,2012
77,221.0,0,0,2,2,2012
79,0.0,0,0,1,1,2012
79,55.0,0,0,1,1,2012
79,109.0,0,0,1,1,2012
79,138.0,0,0,1,1,2012
79,154.0,0,0,1,1,2012
79,216.0,0,0,1,1,2012
79,246.0,0,0,1,1,2012
79,273.0,0,0,1,1,2012
1,265.0,46,37,38,121,2016
2,92.0,27,23,17,67,2016
3,53.0,26,18,26,70,2016
4,212.0,19,17,20,56,2016
5,69.0,17,10,15,42,2016
6,129.0,12,8,21,41,2016
7,87.0,10,18,14,42,2016
8,134.0,9,3,9,21,2016
9,124.0,8,12,8,28,2016
10,14.0,8,11,10,29,2016
11,178.0,8,7,4,19,2016
12,113.0,8,3,4,15,2016
13,35.0,7,6,6,19,2016
14,80.0,7,4,6,17,2016
15,131.0,6,6,1,13,2016
16,127.0,6,3,2,11,2016
17,111.0,5,3,2,10,2016
18,65.0,5,2,4,11,2016
19,188.0,4,9,5,18,2016
20,45.0,4,3,15,22,2016
21,266.0,4,2,7,13,2016
22,58.0,3,2,3,8,2016
23,50.0,3,2,2,7,2016
24,118.0,3,1,4,8,2016
25,99.0,3,1,2,6,2016
26,10.0,3,1,0,4,2016
27,72.0,2,6,7,15,2016
28,238.0,2,6,3,11,2016
29,279.0,2,6,2,10,2016
30,130.0,2,5,10,17,2016
31,260.0,2,5,4,11,2016
32,229.0,2,4,2,8,2016
33,199.0,2,3,6,11,2016
34,202.0,2,3,2,7,2016
35,21.0,2,2,2,6,2016
35,245.0,2,2,2,6,2016
37,236.0,2,2,0,4,2016
38,95.0,2,1,4,7,2016
39,16.0,1,7,10,18,2016
40,30.0,1,4,4,9,2016
41,254.0,1,3,4,8,2016
42,11.0,1,3,0,4,2016
43,67.0,1,2,7,10,2016
44,82.0,1,2,5,8,2016
45,237.0,1,2,1,4,2016
46,114.0,1,2,0,3,2016
47,210.0,1,1,2,4,2016
48,25.0,1,1,0,2,2016
48,273.0,1,1,0,2,2016
50,251.0,1,0,2,3,2016
51,26.0,1,0,1,2,2016
51,117.0,1,0,1,2,2016
51,54.0,1,0,1,2,2016
54,86.0,1,0,0,1,2016
54,128.0,1,0,0,1,2016
54,135.0,1,0,0,1,2016
54,201.0,1,0,0,1,2016
54,221.0,1,0,0,1,2016
54,246.0,1,0,0,1,2016
60,174.0,0,4,1,5,2016
61,159.0,0,3,2,5,2016
62,269.0,0,2,1,3,2016
63,74.0,0,2,0,2,2016
63,119.0,0,2,0,2,2016
65,149.0,0,1,3,4,2016
66,39.0,0,1,2,3,2016
67,116.0,0,1,1,2,2016
67,167.0,0,1,1,2,2016
69,20.0,0,1,0,1,2016
69,100.0,0,1,0,1,2016
69,180.0,0,1,0,1,2016
69,195.0,0,1,0,1,2016
69,206.0,0,1,0,1,2016
74,186.0,0,0,4,4,2016
75,76.0,0,0,3,3,2016
75,253.0,0,0,3,3,2016
77,122.0,0,0,2,2,2016
78,15.0,0,0,1,1,2016
78,73.0,0,0,1,1,2016
78,81.0,0,0,1,1,2016
78,85.0,0,0,1,1,2016
78,154.0,0,0,1,1,2016
78,182.0,0,0,1,1,2016
78,203.0,0,0,1,1,2016
78,252.0,0,0,1,1,2016
78,9.0,0,0,1,1,2016
1,265.0,39,41,33,113,2020
2,53.0,38,32,19,89,2020
3,129.0,27,14,17,58,2020
4,92.0,22,20,22,64,2020
5,208.0,20,28,23,71,2020
6,14.0,17,7,22,46,2020
7,178.0,10,12,14,36,2020
8,87.0,10,12,11,33,2020
9,69.0,10,11,16,37,2020
10,124.0,10,10,20,40,2020
11,45.0,7,7,10,24,2020
12,35.0,7,6,8,21,2020
13,188.0,7,6,7,20,2020
14,65.0,7,3,5,15,2020
15,113.0,6,7,7,20,2020
16,134.0,6,4,10,20,2020
17,199.0,4,5,5,14,2020
18,67.0,4,4,3,11,2020
19,131.0,4,4,2,10,2020
20,186.0,4,2,2,8,2020
21,127.0,4,1,4,9,2020
22,80.0,3,8,6,17,2020
23,238.0,3,6,0,9,2020
24,50.0,3,4,6,13,2020
25,72.0,3,4,4,11,2020
26,111.0,3,3,2,8,2020
27,118.0,3,2,2,7,2020
28,229.0,3,1,5,9,2020
29,21.0,3,1,3,7,2020
30,39.0,3,1,2,6,2020
31,237.0,3,1,1,5,2020
32,266.0,3,0,2,5,2020
33,95.0,2,5,1,8,2020
34,251.0,2,4,6,12,2020
35,254.0,2,2,9,13,2020
36,99.0,2,1,1,4,2020
36,259.0,2,1,1,4,2020
38,75.0,2,1,0,3,2020
39,119.0,2,0,2,4,2020
39,122.0,2,0,2,4,2020
41,206.0,2,0,1,3,2020
42,26.0,2,0,0,2,2020
42,135.0,2,0,0,2,2020
44,260.0,1,6,12,19,2020
45,30.0,1,3,3,7,2020
46,210.0,1,3,0,4,2020
46,269.0,1,3,0,4,2020
48,116.0,1,2,4,7,2020
49,109.0,1,2,3,6,2020
50,195.0,1,2,1,4,2020
50,236.0,1,2,1,4,2020
52,279.0,1,2,0,3,2020
53,15.0,1,1,5,7,2020
54,76.0,1,1,4,6,2020
55,114.0,1,1,3,5,2020
56,82.0,1,1,2,4,2020
56,203.0,1,1,2,4,2020
58,253.0,1,1,0,2,2020
59,81.0,1,0,1,2,2020
59,86.0,1,0,1,2,2020
59,151.0,1,0,1,2,2020
59,245.0,1,0,1,2,2020
63,31.0,1,0,0,1,2020
63,154.0,1,0,0,1,2020
63,201.0,1,0,0,1,2020
66,58.0,0,4,1,5,2020
67,16.0,0,3,4,7,2020
68,73.0,0,3,2,5,2020
69,11.0,0,2,2,4,2020
70,132.0,0,2,1,3,2020
71,167.0,0,1,3,4,2020
72,10.0,0,1,2,3,2020
72,226.0,0,1,2,3,2020
74,128.0,0,1,1,2,2020
74,174.0,0,1,1,2,2020
74,182.0,0,1,1,2,2020
77,25.0,0,1,0,1,2020
77,149.0,0,1,0,1,2020
77,175.0,0,1,0,1,2020
77,163.0,0,1,0,1,2020
77,216.0,0,1,0,1,2020
77,247.0,0,1,0,1,2020
83,130.0,0,0,8,8,2020
84,159.0,0,0,4,4,2020
85,85.0,0,0,2,2,2020
86,41.0,0,0,1,1,2020
86,24.0,0,0,1,1,2020
86,98.0,0,0,1,1,2020
86,100.0,0,0,1,1,2020
86,54.0,0,0,1,1,2020
86,138.0,0,0,1,1,2020
86,157.0,0,0,1,1,2020
86,240.0,0,0,1,1,2020
1,265.0,40,44,42,126,2024
2,53.0,40,27,24,91,2024
3,129.0,20,12,13,45,2024
4,14.0,18,19,16,53,2024
5,87.0,16,26,22,64,2024
6,178.0,15,7,12,34,2024
7,92.0,14,22,29,65,2024
8,134.0,13,9,10,32,2024
9,124.0,12,13,15,40,2024
10,69.0,12,13,8,33,2024
11,188.0,10,7,3,20,2024
12,45.0,9,7,11,27,2024
13,266.0,8,2,3,13,2024
14,113.0,6,7,6,19,2024
15,80.0,5,4,9,18,2024
16,238.0,4,4,3,11,2024
17,131.0,4,2,5,11,2024
18,186.0,4,1,3,8,2024
19,119.0,4,0,3,7,2024
20,35.0,3,7,10,20,2024
21,118.0,3,6,3,12,2024
22,260.0,3,5,4,12,2024
23,210.0,3,4,2,9,2024
24,95.0,3,3,1,7,2024
25,21.0,3,1,6,10,2024
26,39.0,3,1,3,7,2024
27,229.0,3,1,1,5,2024
28,67.0,3,0,2,5,2024
29,72.0,2,2,5,9,2024
30,16.0,2,2,3,7,2024
30,111.0,2,2,3,7,2024
32,65.0,2,1,6,9,2024
33,25.0,2,1,1,4,2024
34,237.0,2,1,0,3,2024
35,251.0,2,0,5,7,2024
36,15.0,2,0,3,5,2024
37,109.0,2,0,2,4,2024
37,195.0,2,0,2,4,2024
39,74.0,2,0,1,3,2024
39,114.0,2,0,1,3,2024
41,122.0,1,5,1,7,2024
42,199.0,1,4,5,10,2024
43,130.0,1,3,3,7,2024
44,127.0,1,3,2,6,2024
44,279.0,1,3,2,6,2024
44,245.0,1,3,2,6,2024
47,82.0,1,3,0,4,2024
48,50.0,1,2,5,8,2024
49,75.0,1,2,2,5,2024
50,203.0,1,2,1,4,2024
51,99.0,1,1,6,8,2024
52,10.0,1,1,1,3,2024
52,76.0,1,1,1,3,2024
52,253.0,1,1,1,3,2024
55,41.0,1,1,0,2,2024
55,52.0,1,1,0,2,2024
55,144.0,1,1,0,2,2024
55,259.0,1,1,0,2,2024
59,73.0,1,0,2,3,2024
60,103.0,1,0,1,2,2024
60,154.0,1,0,1,2,2024
62,71.0,1,0,0,1,2024
62,191.0,1,0,0,1,2024
64,254.0,0,3,5,8,2024
65,159.0,0,3,2,5,2024
66,11.0,0,3,1,4,2024
66,58.0,0,3,1,4,2024
68,132.0,0,2,4,6,2024
68,202.0,0,2,4,6,2024
70,149.0,0,2,2,4,2024
71,116.0,0,1,5,6,2024
72,157.0,0,1,3,4,2024
73,135.0,0,1,1,2,2024
74,66.0,0,1,0,1,2024
74,86.0,0,1,0,1,2024
74,128.0,0,1,0,1,2024
74,167.0,0,1,0,1,2024
74,192.0,0,1,0,1,2024
79,246.0,0,0,3,3,2024
80,3.0,0,0,2,2,2024
80,100.0,0,0,2,2,2024
80,174.0,0,0,2,2,2024
80,201.0,0,0,2,2,2024
84,60.0,0,0,1,1,2024
84,54.0,0,0,1,1,2024
84,194.0,0,0,1,1,2024
84,206.0,0,0,1,1,2024
84,209.0,0,0,1,1,2024
84,221.0,0,0,1,1,2024
84,236.0,0,0,1,1,2024
84,282.0,0,0,1,1,2024
