Sport,1896,1900,1904,1906*,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2,1,2,2,2,2,2,2,2
4.0,0,0,2,1,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,8,8,8,8,8,8,8
4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,2,2,2
4.0,4,7,9,4,6,9,10,11,11,11,11,11,11,13,15,18,29,29,26,26,29,31.0,31,32,32,32,32,32,32,35,35
4.0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,2,2,2,2,2,2,2
5.0,0,7,6,0,3,0,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4.0,4,4,4,4,4,4,4,5,5
9.0,12,23,25,21,26,30,29,27,27,29,29,33,33,33,34,36,36,38,37,38,41,42.0,43,44,46,46,47,47,47,48,48
10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,5,5,5,5,5,5,5,5
13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,1,0,0,1,0
13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,0,0,1,0
14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2
14.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2.0,2,2,2,2,2,2,2,2,2
15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
17.0,0,0,7,0,5,0,8,8,8,8,8,8,10,10,10,10,11,11,11,11,12,12.0,12,12,12,11,11,13,13,13,13
18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2
21.0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,7,7,7,7,11,11,12,12.0,12,12,12,12,12,12,12,12,10
21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,4,4,4,4,4,4,4,4,6
22.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
23.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2
24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,2,2,2
24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,2,2,2,2,2,2
24.0,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3.0,3,4,4,4,4,4,4,4,4
24.0,5,3,7,5,7,0,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,6.0,7,8,12,12,10,10,10,12,12
34.0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2
34.0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2
34.0,0,3,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2
34.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
34.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
36.0,3,7,5,8,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8.0,8,10,10,10,10,10,10,12,12
37.0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2.0,2,2,2,2,2,2,2,2,2
39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
40.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2
41.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2
42.0,8,1,11,4,2,4,4,9,8,11,9,9,15,15,14,14,14,14,14,14,14,14.0,14,14,14,14,14,14,14,14,14
42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2,2,2,2,2,2,2,2
42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,2,2,2,2,2
43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2.0,2,2,2,2,2,2,2,2,2
43.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
47.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,8,8,7.0,14,14,14,14,14,14,14,15,15
49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,8,0
50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
50.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
53.0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2.0,2,1,2,2,2,2,2,2,2
55.0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
56.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
60.0,0,5,5,6,4,4,5,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14.0,14,14,14,14,14,14,14,14,14
61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2
61.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
63.0,0,13,0,0,4,4,14,3,3,4,4,5,5,5,5,5,5,6,6,6,7,8.0,10,10,11,11,11,10,10,10,10
64.0,5,8,0,16,15,18,21,10,0,2,3,4,7,7,6,6,7,8,7,7,11,13.0,13,15,17,17,15,15,15,15,15
65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,4
67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,4
68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2
72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4,4,4,4,4,4,4,5,5
73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,8,8,8,8,8,8,8
74.0,2,4,2,4,6,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4,4,4,4,4,5,5,5,5
80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,2,2,2,3,3
81.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,2,2,2,2,2,2
83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2
84.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
86.0,2,2,2,0,0,0,5,5,5,5,5,6,7,7,7,7,7,9,9,10,10,10.0,10,10,15,15,15,15,15,14,10
87.0,0,0,7,0,5,0,5,7,7,7,7,8,8,8,8,8,8,10,10,10,10,10.0,10,10,8,11,11,11,12,12,12
87.0,1,0,0,4,4,5,5,6,6,7,7,8,8,8,8,8,8,10,10,10,10,10.0,10,10,8,7,7,7,6,6,6
76.0,43,97,95,76,110,102,156,126,109,117,129,136,149,151,150,163,172,195,198,203,221,237.0,257,271,300,301,302,302,306,339,329
75.0,10,22,18,13,25,18,29,23,20,20,25,23,23,23,23,25,24,28,27,27,29,31.0,34,37,40,40,42,40,42,50,48
77.0,11,20,16,11,22,14,22,17,14,14,19,17,17,17,17,19,18,21,21,21,21,23.0,25,25,27,27,27,26,28,33,32
